KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
150014878,878,http://www.redfin.com/CA/El-Cajon/1478-Bathurst-Pl-92020/home/5594265,1478 Bathurst,El Cajon,CA,32.798317,-116.982478,Single Family Residential,92020,4,3,El Cajon,2475,9200,1975,4,Garage,4/16/15,N,Y,FALSE,580000
140056866,866,http://www.redfin.com/CA/El-Cajon/564-Taft-Ave-92020/home/5597214,564 Taft Ave,El Cajon,CA,32.789598,-116.956796,Single Family Residential,92020,3,2,El Cajon,1228,10000,1956,8,Garage,1/7/15,N,Y,FALSE,275200
140034431,431,http://www.redfin.com/CA/El-Cajon/448-E-Renette-Ave-92020/home/5614723,448 E Renette Ave,El Cajon,CA,32.784336,-116.95688,Single Family Residential,92020,3,2,El Cajon,1296,,1974,6,Garage,8/8/14,N,Y,FALSE,379000
140037298,298,http://www.redfin.com/CA/El-Cajon/848-Taft-Ave-92020/home/5615035,848 TAFT Ave,EL CAJON,CA,32.785128,-116.956536,Single Family Residential,92020,3,2,El Cajon,1592,7900,1959,5,Garage,8/11/14,N,Y,FALSE,432000
150008818,818,http://www.redfin.com/CA/El-Cajon/938-Taft-Ave-92020/home/5616691,938 Taft Ave,El Cajon,CA,32.783325,-116.956537,Single Family Residential,92020,3,2,El Cajon,1232,,1957,7,,5/15/15,N,Y,FALSE,393000
140013001,1,http://www.redfin.com/CA/El-Cajon/460-Horizon-Ln-92020/home/5632560,460 Horizon Ln,El Cajon,CA,32.771829,-116.956749,Single Family Residential,92020,4,2,El Cajon,2157,16988,1976,5,Garage,5/5/14,N,Y,FALSE,545000
140019052,52,http://www.redfin.com/CA/El-Cajon/1768-Cono-Dr-92020/home/5632592,1768 Cono Dr,El Cajon,CA,32.771008,-116.957837,Single Family Residential,92020,3,2,El Cajon,1843,19166,1974,2,Garage,6/18/14,N,Y,FALSE,555000
140060301,301,http://www.redfin.com/CA/El-Cajon/353-Kentucky-Ave-92020/home/22645070,353 Kentucky Ave,El Cajon,CA,32.7985225,-116.9582918,Single Family Residential,92020,3,3,El Cajon,1865,,2009,2,Garage,12/29/14,N,Y,FALSE,370000
140012182,182,http://www.redfin.com/CA/El-Cajon/732-S-Johnson-Ave-92020/home/5608514,732 S Johnson Ave,El Cajon,CA,32.786838,-116.971194,Single Family Residential,92020,4,3,El Cajon,1805,6000,1953,4,Garage,5/21/14,N,Y,FALSE,355000
140020004,4,http://www.redfin.com/CA/El-Cajon/698-Patricia-Ln-92020/home/5608923,698 Patricia Ln,El Cajon,CA,32.787055,-116.970704,Single Family Residential,92020,3,2,El Cajon,1598,7400,1950,2,Garage,6/6/14,N,Y,FALSE,390000
140021547,547,http://www.redfin.com/CA/El-Cajon/772-Downer-Ave-92020/home/5610713,772 Downer Ave,El Cajon,CA,32.781364,-116.971756,Single Family Residential,92020,4,2,El Cajon,1660,8500,1957,10,Garage,5/13/14,N,Y,FALSE,320000
140057084,84,http://www.redfin.com/CA/El-Cajon/783-Downer-Ave-92020/home/5610789,783 Downer Ave,El Cajon,CA,32.780915,-116.971849,Single Family Residential,92020,4,2,El Cajon,1396,,1957,5,Garage,12/31/14,N,Y,FALSE,369900
140052854,854,http://www.redfin.com/CA/El-Cajon/713-Palomar-Ave-92020/home/5612475,713 Palomar Ave,El Cajon,CA,32.778208,-116.970988,Single Family Residential,92020,2,2,El Cajon,1300,8400,1952,5,Garage,2/23/15,N,Y,FALSE,362000
140049049,49,http://www.redfin.com/CA/El-Cajon/733-Skyview-St-92020/home/5614028,733 Skyview,el cajon,CA,32.776523,-116.971429,Single Family Residential,92020,4,2,El Cajon,1873,,1967,4,Garage,2/20/15,N,Y,TRUE,434000
