KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
150046564,564,http://www.redfin.com/CA/El-Cajon/1095-S-Magnolia-Ave-92020/home/5611967,1095 magnolia Ave,el caJON,CA,32.780602,-116.961929,Single Family Residential,92020,3,1,El Cajon,1028,8500,1952,6,Garage,10/30/2015,N,Y,FALSE,320000
150045657,657,http://www.redfin.com/CA/El-Cajon/787-Palomar-Ave-92020/home/5612173,787 PALOMAR Ave,EL CAJON,CA,32.77821,-116.972242,Single Family Residential,92020,3,1,El Cajon,912,,1953,5,Garage,10/29/2015,N,Y,FALSE,324900
150046432,432,http://www.redfin.com/CA/El-Cajon/734-Skyview-St-92020/home/5614009,734 Skyview,El Cajon,CA,32.777086,-116.971584,Single Family Residential,92020,4,2,El Cajon,1848,,1966,4,Garage,11/4/2015,N,Y,FALSE,450000
150041531,531,http://www.redfin.com/CA/El-Cajon/1784-Circo-Del-Cielo-Dr-92020/home/5634948,1784 Circo Del Cielo Dr,El Cajon,CA,32.769617,-116.962021,Single Family Residential,92020,4,3,El Cajon,2974,26800,1965,5,Garage,11/6/2015,N,Y,FALSE,670000
150054811,811,http://www.redfin.com/CA/El-Cajon/1324-Helix-View-Dr-92020/home/5606553,1324 Helix View Dr,El Cajon,CA,32.781636,-116.980412,Single Family Residential,92020,6,3,El Cajon,2570,6970,1974,4,Garage,11/12/2015,N,Y,FALSE,510000
150044974,974,http://www.redfin.com/CA/El-Cajon/1559-Donita-Dr-92020/home/5636557,1559 Donita Dr,El Cajon,CA,32.770573,-116.944,Single Family Residential,92020,5,4,Mount Helix,4326,,1970,4,Garage,11/24/2015,N,Y,FALSE,875000
150058484,484,http://www.redfin.com/CA/El-Cajon/997-Salina-St-92020/home/5616943,997 Salina St,El Cajon,CA,32.782371,-116.954258,Single Family Residential,92020,3,2,El Cajon,1232,8300,1959,2,Garage,11/30/2015,N,Y,FALSE,335500
150044337,337,http://www.redfin.com/CA/El-Cajon/635-W-Renette-Ave-92020/home/5610803,635 W Renette Ave,El Cajon,CA,32.783806,-116.969385,Single Family Residential,92020,4,3,El Cajon,1588,6500,1956,4,Garage,12/2/2015,N,Y,FALSE,405000
150064355,355,http://www.redfin.com/CA/El-Cajon/246-E-Renette-Ave-92020/home/5614694,246 E Renette,El Cajon,CA,32.78438,-116.958964,Single Family Residential,92020,2,1,El Cajon,754,6500,1951,2,Garage,12/10/2015,N,Y,FALSE,310000
150048144,144,http://www.redfin.com/CA/El-Cajon/5009-New-Ranch-Rd-92020/home/5637682,5009 NEW RANCH Rd,EL CAJON,CA,32.768328,-116.953367,Single Family Residential,92020,5,5,Mount Helix,3962,32670,1972,14,Garage,12/8/2015,N,Y,FALSE,890000
150055031,31,http://www.redfin.com/CA/El-Cajon/1616-Cono-Dr-92020/home/5620240,1616 Cono Dr,El Cajon,CA,32.772841,-116.95785,Single Family Residential,92020,4,3,El Cajon,2372,,1988,6,Garage,12/10/2015,N,Y,FALSE,610000
150049007,7,http://www.redfin.com/CA/El-Cajon/11133-Valley-Lights-Dr-92020/home/5637731,11133 VALLEY LIGHTS Dr,EL CAJON/HORIZON HILLS,CA,32.766587,-116.950937,Single Family Residential,92020,4,3,Mount Helix,3304,44431,1968,8,Garage,12/14/2015,N,Y,FALSE,814595
150059993,993,http://www.redfin.com/CA/El-Cajon/1685-Fuerte-Knolls-Ln-92020/home/5636928,1685 FUERTE KNOLLS Ln,El Cajon,CA,32.766918,-116.939578,Single Family Residential,92020,5,5,Mount Helix,3856,50965,1986,11,Garage,12/17/2015,N,Y,FALSE,925000
150051394,394,http://www.redfin.com/CA/El-Cajon/1755-Circo-Del-Cielo-Dr-92020/home/5635026,1755 Circo Del Cielo Dr,San Diego,CA,32.770449,-116.960628,Single Family Residential,92020,4,2,El Cajon,2338,,1969,8,Garage,12/18/2015,N,Y,FALSE,752500
150029950,950,http://www.redfin.com/CA/El-Cajon/1168-Nidrah-St-92020/home/5613242,1168 Nidrah St,El Cajon,CA,32.779651,-116.97677,Single Family Residential,92020,3,2,El Cajon,1485,,1967,6,Garage,12/18/2015,N,Y,FALSE,400000
150040788,788,http://www.redfin.com/CA/El-Cajon/5138-New-Ranch-Rd-92020/home/5637648,5138 New Ranch Rd,El Cajon,CA,32.769345,-116.949618,Single Family Residential,92020,4,4,Mount Helix,3212,30100,1969,7,Garage,12/30/2015,N,Y,FALSE,825000
150059018,18,http://www.redfin.com/CA/El-Cajon/963-Taft-Ave-92020/home/5616710,963 Taft Ave,El Cajon,CA,32.782937,-116.955966,Single Family Residential,92020,3,2,El Cajon,1232,6300,1959,4,Garage,12/29/2015,N,Y,FALSE,423000
150058387,387,http://www.redfin.com/CA/El-Cajon/1254-Vista-Del-Monte-Dr-92020/home/5618276,1254 Vista Del Monte Dr,El Cajon,CA,32.782519,-116.939683,Single Family Residential,92020,4,4,El Cajon,3106,40946,1979,7,Garage,12/31/2015,N,Y,FALSE,676000
150054605,605,http://www.redfin.com/CA/El-Cajon/1042-Merritt-Dr-92020/home/5617998,1042 Merritt Dr,El Cajon,CA,32.784549,-116.946706,Single Family Residential,92020,3,3,El Cajon,2238,,1954,9,Garage,1/13/2016,N,Y,FALSE,552000
150062544,544,http://www.redfin.com/CA/El-Cajon/874-Lura-Ave-92020/home/5609433,874 Lura Ave,El Cajon,CA,32.784563,-116.966448,Single Family Residential,92020,3,2,El Cajon,1536,6100,1978,4,Garage,1/11/2016,N,Y,FALSE,420000
150063471,471,http://www.redfin.com/CA/El-Cajon/685-Kidd-Way-92020/home/5610883,685 Kidd Way,El Cajon,CA,32.782405,-116.969573,Single Family Residential,92020,3,2,El Cajon,1118,,1956,4,Garage,1/19/2016,N,Y,FALSE,415000
150065716,716,http://www.redfin.com/CA/El-Cajon/1037-Pine-Dr-92020/home/5606903,1037 Pine Dr,El Cajon,CA,32.781794,-116.978262,Single Family Residential,92020,3,2,El Cajon,1619,,1980,4,Garage,1/28/2016,N,Y,FALSE,342000
150050561,561,http://www.redfin.com/CA/El-Cajon/1432-S-Magnolia-Ave-92020/home/5613986,1432 S Magnolia Ave,El Cajon,CA,32.77628,-116.962681,Single Family Residential,92020,5,3,El Cajon,3308,21780,2000,5,Garage,2/3/2016,N,Y,FALSE,686000
150061050,50,http://www.redfin.com/CA/El-Cajon/943-S-Johnson-Ave-92020/home/5610650,943 S Johnson,El Cajon,CA,32.783426,-116.970504,Single Family Residential,92020,3,2,El Cajon,1834,7000,1956,2,,2/5/2016,N,Y,FALSE,390000
